statefp,state,maptype,districts,county_splits,efficiency_gap,efficiency_gap_extra_seats,district_perimeters,state_perimeter,interior_perimeter_measure,compactness_rank
29,MO,Competitive,8,10,0.02589116128239616,R+0,67.86942839993695,24.7132958732237,21.578066263356625,6
29,MO,Dem,8,8,-0.03994376958185677,D+0,59.292131631466766,24.7132958732237,17.289417879121533,1
29,MO,GOP,8,8,0.23073559497886015,R+2,65.39602156638037,24.7132958732237,20.341362846578335,4
29,MO,MajMin,8,9,0.11093881404561762,R+1,73.8534092629064,24.7132958732237,24.570056694841348,7
29,MO,Proportional,8,8,-0.03994376958185677,D+0,59.292131631466766,24.7132958732237,17.289417879121533,1
29,MO,algorithmic-compact,8,42,0.10441162627719852,R+1,66.1470857495447,24.7132958732237,20.7168949381605,5
29,MO,current,8,9,0.11093881404561762,R+1,73.8534092629064,24.7132958732237,24.570056694841348,7
28,MS,Compact,4,3,0.09806668048834,R+0,46.16826346643278,24.60952011785,10.779371674291388,1
28,MS,Competitive,4,12,-0.14658812982017846,D+1,59.064139739227606,24.60952011785,17.2273098106888,5
28,MS,Dem,4,15,-0.14957212052876476,D+1,65.7239546487001,24.60952011785,20.557217265425052,7
28,MS,GOP,4,4,0.09988972612395637,R+0,53.22804445225112,24.60952011785,14.30926216720056,3
28,MS,MajMin,4,15,-0.14957212052876476,D+1,65.7239546487001,24.60952011785,20.557217265425052,7
28,MS,Proportional,4,12,-0.14658812982017846,D+1,59.064139739227606,24.60952011785,17.2273098106888,5
28,MS,algorithmic-compact,4,22,0.09559080046215289,R+0,51.23767180151282,24.60952011785,13.314075841831409,2
28,MS,current,4,4,0.09988972612395637,R+0,53.22804445225112,24.60952011785,14.30926216720056,3
30,MT,Compact,1,0,,,,,,
30,MT,Competitive,1,0,,,,,,
30,MT,Dem,1,0,,,,,,
30,MT,GOP,1,0,,,,,,
30,MT,MajMin,1,0,,,,,,
30,MT,Proportional,1,0,,,,,,
30,MT,algorithmic-compact,1,0,,,,,,
30,MT,current,1,0,,,,,,
37,NC,Compact,13,11,0.06661117308273923,R+1,88.36270976314802,41.2633223665636,23.54969369829221,1
37,NC,Competitive,13,19,-0.08590281569930668,D+1,103.26917329141662,41.2633223665636,31.00292546242651,4
37,NC,Dem,13,33,-0.1584170442357067,D+2,116.27407598642648,41.2633223665636,37.50537680993144,8
37,NC,GOP,13,36,0.23714746873410253,R+3,113.0197025411708,41.2633223665636,35.8781900873036,6
37,NC,MajMin,13,41,0.09163897419848457,R+1,116.1907649402519,41.2633223665636,37.46372128684415,7
37,NC,Proportional,13,12,-0.0007093717138802048,D+0,90.94078244957035,41.2633223665636,24.838730041503375,2
37,NC,algorithmic-compact,13,56,-0.012208812894080066,D+0,91.63690656246713,41.2633223665636,25.186792097951766,3
37,NC,current,13,13,0.22919857392945114,R+3,107.66799191349959,41.2633223665636,33.202334773467996,5
38,ND,Compact,1,0,,,,,,
38,ND,Competitive,1,0,,,,,,
38,ND,Dem,1,0,,,,,,
38,ND,GOP,1,0,,,,,,
38,ND,MajMin,1,0,,,,,,
38,ND,Proportional,1,0,,,,,,
38,ND,algorithmic-compact,1,0,,,,,,
38,ND,current,1,0,,,,,,
31,NE,Compact,3,1,0.25323385029974277,R+1,34.639899682829096,24.1940176763813,5.222941003223898,1
31,NE,Competitive,3,1,0.25323385029974277,R+1,34.639899682829096,24.1940176763813,5.222941003223898,1
31,NE,Dem,3,4,-0.04416148853298145,D+0,38.59220521636938,24.1940176763813,7.19909376999404,5
31,NE,GOP,3,1,0.2532346721658952,R+1,44.717862533988594,24.1940176763813,10.261922428803647,8
31,NE,MajMin,3,5,0.25323396530014075,R+1,36.08347311932375,24.1940176763813,5.944727721471224,4
31,NE,Proportional,3,4,-0.04416148853298145,D+0,38.59220521636938,24.1940176763813,7.19909376999404,5
31,NE,algorithmic-compact,3,11,0.25323385029974277,R+1,35.44263196569915,24.1940176763813,5.624307144658925,3
31,NE,current,3,3,0.25323435128236105,R+1,39.0670009521191,24.1940176763813,7.436491637868901,7
33,NH,Compact,2,1,0.031958225895957836,R+0,14.052574816047711,9.52798255128187,2.2622961323829207,1
33,NH,Competitive,2,5,-0.21580313621945318,D+0,19.40562205883217,9.52798255128187,4.9388197537751495,3
33,NH,Dem,2,5,0.03412153589570486,R+0,20.75160745202996,9.52798255128187,5.611812450374044,7
33,NH,GOP,2,5,0.03412153589570486,R+0,20.75160745202996,9.52798255128187,5.611812450374044,7
33,NH,MajMin,2,7,-0.21274726723118667,D+0,20.61863623160293,9.52798255128187,5.545326840160531,6
33,NH,Proportional,2,5,-0.21580313621945318,D+0,19.40562205883217,9.52798255128187,4.9388197537751495,3
33,NH,algorithmic-compact,2,4,0.03052280839526101,R+0,14.745826180412099,9.52798255128187,2.6089218145651145,2
33,NH,current,2,5,-0.21580313621945318,D+0,19.40562205883217,9.52798255128187,4.9388197537751495,3
34,NJ,Compact,12,11,-0.019970760712497936,D+0,26.89529500140752,8.80957420919117,9.042860396108175,2
34,NJ,Competitive,12,22,-0.11421773268630321,D+1,29.48634301605393,8.80957420919117,10.33838440343138,4
34,NJ,Dem,12,26,-0.14918347699613954,D+2,32.260305902456565,8.80957420919117,11.725365846632698,6
34,NJ,GOP,12,37,0.22162519373754666,R+3,40.965426649885835,8.80957420919117,16.077926220347333,8
34,NJ,MajMin,12,27,0.024016066759519564,R+0,29.131961915621456,8.80957420919117,10.161193853215142,3
34,NJ,Proportional,12,22,0.0789523257439371,R+1,29.91713363165253,8.80957420919117,10.553779711230678,5
34,NJ,algorithmic-compact,12,32,-0.024137220000072884,D+0,26.13965472293779,8.80957420919117,8.665040256873311,1
34,NJ,current,12,25,0.07985167511380545,R+1,35.529159093893085,8.80957420919117,13.359792442350958,7
35,NM,Compact,3,2,-0.10742473127692242,D+0,42.88426924623663,23.6785405781265,9.602864334055063,1
35,NM,Competitive,3,3,-0.10964990056859286,D+0,50.84650427338522,23.6785405781265,13.58398184762936,3
35,NM,Dem,3,2,-0.10855357286734156,D+0,45.63054942430025,23.6785405781265,10.976004423086874,2
35,NM,GOP,3,7,0.2567871103840186,R+1,69.10502189215009,23.6785405781265,22.713240657011795,8
35,NM,MajMin,3,7,-0.10225105595812228,D+0,59.6909205409963,23.6785405781265,18.0061899814349,7
35,NM,Proportional,3,7,-0.10270304942929127,D+0,51.35144460701363,23.6785405781265,13.836452014443566,4
35,NM,algorithmic-compact,3,11,-0.10837148929935678,D+0,58.889404804666654,23.6785405781265,17.605432113270076,6
35,NM,current,3,7,-0.10270304942929127,D+0,51.35144460701363,23.6785405781265,13.836452014443566,4
32,NV,Compact,4,3,-0.026442087017734414,D+0,43.869681828362516,23.8180424637005,10.025819682331008,3
32,NV,Competitive,4,5,-0.1664267444345205,D+1,48.779693078933875,23.8180424637005,12.480825307616687,7
32,NV,Dem,4,8,-0.1555351064629702,D+1,49.76797202976774,23.8180424637005,12.97496478303362,8
32,NV,GOP,4,3,0.14743522582691002,R+1,47.39922084036469,23.8180424637005,11.790589188332095,5
32,NV,MajMin,4,3,0.14276523635452146,R+1,44.61096234920408,23.8180424637005,10.39645994275179,4
32,NV,Proportional,4,3,-0.020914434467820472,D+0,42.64615166284934,23.8180424637005,9.41405459957442,1
